Energy(eV),Counts(Arb. Unit)
679.2,7685.821
679.3,8121.642
679.4,7730.597
679.5,7761.194
679.6,7824.627
679.7,7905.97
679.8,8167.91
679.9,8127.612
680,7932.089
680.1,7944.03
680.2,7702.985
680.3,7642.537
680.4,7763.433
680.5,7899.253
680.6,7931.343
680.7,7848.507
680.8,7894.03
680.9,7699.253
681,7752.239
681.1,7856.716
681.2,7708.209
681.3,7892.537
681.4,7982.836
681.5,7744.03
681.6,7738.059
681.7,7726.865
681.8,7521.642
681.9,7709.701
682,7778.358
682.1,7776.119
682.2,7857.462
682.3,7965.671
682.4,7877.612
682.5,7795.522
682.6,7605.224
682.7,7655.97
682.8,7642.537
682.9,7450.746
683,7439.552
683.1,7767.91
683.2,7670.895
683.3,7768.656
683.4,7682.089
683.5,7612.686
683.6,7778.358
683.7,7833.582
683.8,7598.507
683.9,7864.925
684,7585.821
684.1,7720.149
684.2,7804.477
684.3,7889.552
684.4,7810.447
684.5,7734.328
684.6,7684.328
684.7,7547.015
684.8,7538.059
684.9,7476.119
685,7632.836
685.1,7703.731
685.2,7832.089
685.3,7723.134
685.4,7443.283
685.5,7835.074
685.6,7673.88
685.7,7591.791
685.8,7632.089
685.9,7584.328
686,7732.089
686.1,7653.731
686.2,7423.88
686.3,7418.656
686.4,7517.164
686.5,7411.194
686.6,7541.791
686.7,7441.791
686.8,7693.283
686.9,7655.97
687,7623.134
687.1,7444.03
687.2,7408.209
687.3,7665.671
687.4,7364.179
687.5,7629.104
687.6,7637.313
687.7,7456.716
687.8,7473.88
687.9,7531.343
688,7420.149
688.1,7654.477
688.2,7455.224
688.3,7446.268
688.4,7471.642
688.5,7265.671
688.6,7523.134
688.7,7249.253
688.8,7370.895
688.9,7438.806
689,7470.895
689.1,7451.492
689.2,7558.209
689.3,7260.448
689.4,7342.537
689.5,7145.522
689.6,7435.074
689.7,7546.268
689.8,7446.268
689.9,7516.418
690,7296.268
690.1,7229.85
690.2,7047.761
690.3,7255.97
690.4,7507.462
690.5,7270.895
690.6,7451.492
690.7,7545.522
690.8,7393.283
690.9,7361.94
691,7263.433
691.1,7426.119
691.2,7217.91
691.3,7216.418
691.4,7304.477
691.5,7252.985
691.6,7317.164
691.7,7421.642
691.8,7217.164
691.9,7382.836
692,7338.806
692.1,7125.373
692.2,6941.791
692.3,7204.477
692.4,7182.089
692.5,7221.642
692.6,7315.671
692.7,7333.582
692.8,7433.582
692.9,7145.522
693,7181.343
693.1,7164.925
693.2,7242.537
693.3,7229.104
693.4,7304.477
693.5,7308.955
693.6,7232.836
693.7,6929.104
693.8,7041.045
693.9,7069.403
694,6880.597
694.1,7043.283
694.2,7249.253
694.3,7114.925
694.4,7257.462
694.5,7227.612
694.6,7049.253
694.7,6988.059
694.8,7051.492
694.9,6941.045
695,7061.94
695.1,7247.761
695.2,7023.134
695.3,6978.358
695.4,7063.433
695.5,7091.791
695.6,7046.268
695.7,7179.85
695.8,7228.358
695.9,7091.791
696,6855.97
696.1,6823.134
696.2,6894.776
696.3,6999.253
696.4,6943.283
696.5,6918.656
696.6,7002.985
696.7,6770.895
696.8,6994.03
696.9,7002.239
697,6940.298
697.1,6947.015
697.2,7064.925
697.3,6940.298
697.4,6881.343
697.5,6946.268
697.6,6897.761
697.7,6870.895
697.8,7120.149
697.9,6945.522
698,6967.164
698.1,6948.507
698.2,6924.627
698.3,7015.671
698.4,6884.328
698.5,7038.806
698.6,6873.88
698.7,6883.582
698.8,6814.925
698.9,6875.373
699,6813.433
699.1,6933.582
699.2,6935.074
699.3,6906.716
699.4,6886.567
699.5,6879.104
699.6,6868.656
699.7,7022.388
699.8,6966.418
699.9,6930.597
700,7059.701
700.1,6882.836
700.2,6975.373
700.3,6906.716
700.4,6832.089
700.5,7058.209
700.6,6808.955
700.7,6734.328
700.8,6812.686
700.9,6979.85
701,6911.194
701.1,6784.328
701.2,7080.597
701.3,6973.88
701.4,6935.821
701.5,7052.985
701.6,6891.045
701.7,7112.686
701.8,7126.865
701.9,6967.164
702,6872.388
702.1,6983.582
702.2,7120.895
702.3,7197.761
702.4,7138.806
702.5,7261.194
702.6,7249.253
702.7,7214.925
702.8,7076.119
702.9,7209.701
703,7211.194
703.1,7168.656
703.2,7046.268
703.3,7363.433
703.4,7441.791
703.5,7345.522
703.6,7385.074
703.7,7521.642
703.8,7541.045
703.9,7599.253
704,7603.731
704.1,7713.433
704.2,7785.821
704.3,7939.552
704.4,8165.671
704.5,8228.358
704.6,8229.104
704.7,8332.836
704.8,8329.85
704.9,8858.955
705,9030.597
705.1,9026.119
705.2,9522.388
705.3,9887.313
705.4,10142.54
705.5,10576.87
705.6,11392.54
705.7,12023.13
705.8,13124.63
705.9,14207.46
706,15216.42
706.1,17136.57
706.2,18948.51
706.3,21136.57
706.4,23594.03
706.5,26188.81
706.6,29372.39
706.7,32517.91
706.8,35656.72
706.9,39072.39
707,43144.03
707.1,46785.07
707.2,50108.95
707.3,53243.28
707.4,56489.55
707.5,58966.42
707.6,61024.62
707.7,63202.24
707.8,64267.16
707.9,65007.46
708,65155.97
708.1,64385.07
708.2,64055.97
708.3,62699.25
708.4,61427.61
708.5,60061.94
708.6,58665.67
708.7,57002.24
708.8,55280.6
708.9,53186.57
709,51250.74
709.1,49827.61
709.2,48262.68
709.3,46473.88
709.4,45479.1
709.5,43895.52
709.6,42367.16
709.7,41066.42
709.8,40011.19
709.9,39074.63
710,37950.74
710.1,36911.94
710.2,36254.48
710.3,35294.03
710.4,34438.06
710.5,33392.54
710.6,32652.98
710.7,32158.95
710.8,31323.13
710.9,30714.92
711,30107.46
711.1,29629.1
711.2,28797.76
711.3,28283.58
711.4,27614.18
711.5,27432.83
711.6,26914.18
711.7,26358.21
711.8,25858.95
711.9,25546.27
712,25008.95
712.1,24637.31
712.2,24532.09
712.3,24057.46
712.4,23872.39
712.5,23585.82
712.6,23205.22
712.7,22922.39
712.8,22770.15
712.9,22518.66
713,22437.31
713.1,22394.03
713.2,22391.04
713.3,22297.01
713.4,22083.58
713.5,22076.12
713.6,21745.52
713.7,21518.66
713.8,21312.69
713.9,21357.46
714,21547.01
714.1,21279.1
714.2,21002.98
714.3,21073.13
714.4,20943.28
714.5,20842.54
714.6,20663.43
714.7,20461.19
714.8,20688.81
714.9,20679.1
715,20363.43
715.1,20166.42
715.2,20060.45
715.3,20128.36
715.4,19855.22
715.5,19794.03
715.6,19606.72
715.7,19853.73
715.8,19767.91
715.9,19702.24
716,19491.79
716.1,19502.98
716.2,19415.67
716.3,19422.39
716.4,19611.19
716.5,19245.52
716.6,19103.73
