Energy(eV),Counts(Arb. Unit)
695,5869.048
695.05,5773.016
695.1,5857.937
695.15,5878.572
695.2,5738.095
695.25,5892.857
695.3,5812.699
695.35,5850
695.4,5831.746
695.45,5836.508
695.5,5869.841
695.55,6064.286
695.6,5964.286
695.65,5786.508
695.7,5833.333
695.75,5924.603
695.8,5759.524
695.85,5692.064
695.9,5707.937
695.95,5773.81
696,5835.714
696.05,5881.746
696.1,5760.318
696.15,5885.714
696.2,5794.445
696.25,5851.587
696.3,5711.905
696.35,5795.238
696.4,5829.365
696.45,5849.206
696.5,5719.841
696.55,5763.492
696.6,5781.746
696.65,5796.032
696.7,5767.46
696.75,5848.413
696.8,5812.699
696.85,5811.111
696.9,5911.111
696.95,5802.381
697,5931.746
697.05,5746.825
697.1,5816.667
697.15,5976.984
697.2,5918.254
697.25,5711.111
697.3,5876.984
697.35,5793.651
697.4,5882.54
697.45,5848.413
697.5,5879.365
697.55,5811.111
697.6,5923.81
697.65,5897.619
697.7,5924.603
697.75,5782.54
697.8,5802.381
697.85,5701.587
697.9,5729.365
697.95,5860.318
698,5978.572
698.05,5828.572
698.1,5971.429
698.15,5920.635
698.2,5761.905
698.25,5794.445
698.3,5776.191
698.35,5827.778
698.4,5728.572
698.45,5810.318
698.5,5773.016
698.55,5717.46
698.6,5903.175
698.65,5815.079
698.7,5742.857
698.75,5826.191
698.8,5778.572
698.85,5760.318
698.9,5619.048
698.95,5619.048
699,5789.683
699.05,5860.318
699.1,5769.841
699.15,5811.905
699.2,5775.397
699.25,5871.429
699.3,5938.095
699.35,5751.587
699.4,5824.603
699.45,5840.476
699.5,5746.032
699.55,5827.778
699.6,5897.619
699.65,5852.381
699.7,5776.984
699.75,5640.476
699.8,5604.762
699.85,5761.905
699.9,5684.127
699.95,5676.191
700,5883.333
700.05,5817.46
700.1,5580.159
700.15,5908.73
700.2,5812.699
700.25,5907.143
700.3,5909.524
700.35,5658.73
700.4,5801.587
700.45,5792.857
700.5,5759.524
