Energy,Absorption
50.765,0.0
52.166,29.879
53.566,26.289
54.966,30.247
56.365,30.818
57.765,21.088
59.164,2.667
60.563,4.76
61.962,0.621
63.36,9.967
64.758,0.591
66.157,1.059
67.554,5.988
68.952,31.655
70.349,57.878
71.747,71.612
73.144,118.813
74.54,192.437
75.937,275.445
77.333,443.8
78.729,749.471
80.125,1253.431
81.521,2159.655
82.916,3320.122
84.311,4478.812
85.706,4898.709
87.101,5294.805
88.496,5672.106
89.89,5280.621
91.284,4420.335
92.678,3215.232
94.071,2325.29
95.465,1651.492
96.858,1228.822
98.251,983.268
99.644,811.821
101.036,726.473
102.428,656.217
103.82,639.047
105.212,606.957
106.604,593.943
107.995,578.001
109.387,562.127
110.777,564.318
112.168,561.57
113.559,560.881
114.949,550.249
116.339,521.67
117.729,535.143
119.119,482.666
120.508,471.235
121.897,461.907
123.286,462.741
124.675,458.796
126.063,471.079
127.452,450.498
128.84,447.992
130.228,477.522
131.615,485.051
133.003,531.579
134.39,528.098
135.777,559.586
137.164,641.047
138.55,712.485
139.937,840.903
141.323,1026.306
142.709,1481.701
144.094,2032.093
145.48,3104.486
146.865,5014.878
148.25,7935.274
149.635,12321.675
151.019,18352.086
152.403,24682.496
153.788,27242.918
155.171,26103.354
156.555,19073.793
157.939,11434.241
159.322,6703.702
160.705,3987.174
162.088,2542.655
163.47,1784.149
164.853,1345.653
166.235,1039.168
167.617,779.695
168.998,737.234
170.38,575.784
171.761,489.345
173.142,443.918
174.523,380.502
175.904,346.097
177.284,323.703
178.664,356.319
180.044,377.945
181.424,420.582
182.803,465.228
184.183,503.884
185.562,501.549
186.94,486.224
188.319,510.907
189.698,506.6
191.076,600.059
192.454,699.071
193.831,948.888
195.209,1075.561
196.586,1068.652
197.963,942.157
199.34,803.45
200.717,740.887
202.093,646.39
203.47,713.744
204.846,759.518
206.221,835.426
207.597,1039.978
208.972,1369.419
210.347,2133.865
211.722,3364.319
213.097,5853.777
214.472,10327.24
215.846,17527.709
217.22,29987.369
218.594,46617.086
219.967,58336.848
221.341,46116.613
222.714,23816.449
224.087,11756.327
225.46,5975.94
226.832,3418.954
228.204,2169.008
229.577,1588.843
230.948,1303.023
232.32,1180.239
233.692,1134.508
235.063,1073.818
236.434,1105.164
237.805,1101.546
239.175,1158.96
240.545,1377.405
241.916,1744.878
243.286,2635.378
244.655,3845.903
246.025,5021.452
247.394,4615.025
248.763,3536.619
250.132,2541.233
251.501,1688.866
252.869,1068.517
254.237,653.187
255.605,440.872
256.973,285.573
258.34,224.289
259.708,177.018
261.075,155.761
