Energy,Fe foil,Fe2O3,Fe3O4,FeO
6913.163,-0.003537062,0.002428319,0.002289297,0.002601495
6923.163,0.00236659,0.002579338,0.001972606,0.002093703
6933.163,0.001513698,0.002730358,0.001655915,0.002311811
6943.163,0.001054272,0.002881377,0.001339224,0.001330013
6953.163,0.000685626,0.003032396,0.001022533,0.001003961
6963.163,0.000523383,0.003183415,0.000705842,0.000790455
6973.163,0.000457187,0.002890053,0.000368683,0.000412208
6983.163,0.00016805,-0.000552292,-1.82E-05,0.000207588
6993.163,-8.38E-05,-0.001317866,-6.96E-06,4.26E-05
7003.163,-0.000210431,-0.00094009,-0.000300723,-0.000231804
7013.163,-0.000362324,-0.000339146,-0.00061049,-0.000335914
7023.163,-0.000430139,-0.003514498,-0.000435114,-0.000523933
7033.163,-0.000464257,-0.001333701,-0.000537354,-0.0005004
7043.163,-0.000508348,-0.002545596,-0.000330647,-0.000386194
7053.163,-0.000354246,-0.003512665,-0.000263141,-0.000341142
7063.163,-0.000136279,-0.001198929,0.000026161,-3.74E-05
7073.163,0.000254824,0.003492861,0.000368421,0.000451757
7083.163,0.001146409,0.006237424,0.001319389,0.001388664
7093.163,0.002822611,0.009741278,0.003196496,0.00336756
7093.663,0.002930352,0.008123411,0.003353414,0.003551263
7094.163,0.002944403,0.0079574,0.003445623,0.003734966
7094.663,0.003113247,0.006730963,0.003628885,0.003918669
7095.163,0.00325902,0.006330009,0.00406355,0.004102371
7095.663,0.003444579,0.008318623,0.004084534,0.004286074
7096.163,0.003557695,0.010279107,0.004176611,0.004469777
7096.663,0.003759957,0.009114943,0.004316967,0.004653479
7097.163,0.003977557,0.010279122,0.004573426,0.004837182
7097.663,0.004137394,0.010180565,0.00487822,0.005020885
7098.163,0.004284589,0.010529931,0.005145626,0.005131712
7098.663,0.004534743,0.01106863,0.00538934,0.00523044
7099.163,0.004667784,0.011292112,0.005375633,0.005329167
7099.663,0.004997928,0.011295279,0.005604243,0.005427894
7100.163,0.005348128,0.011218668,0.005765118,0.005526621
7100.663,0.005675039,0.013271062,0.006246136,0.005625349
7101.163,0.006023589,0.01308435,0.006294238,0.005724076
7101.663,0.006475088,0.01139994,0.006639572,0.005822803
7102.163,0.006861184,0.013793351,0.00690214,0.00592153
7102.663,0.007376097,0.012575719,0.007653901,0.006020257
7103.163,0.007895219,0.012209457,0.00782997,0.004597269
7103.663,0.008355942,0.012824395,0.008237345,0.005243446
7104.163,0.00890318,0.012308874,0.008611928,0.007374989
7104.663,0.0095667,0.013434467,0.009223171,0.009087322
7105.163,0.010412739,0.013273189,0.009658478,0.009944592
7105.663,0.011211034,0.012854658,0.009977638,0.010605945
7106.163,0.012152071,0.014777076,0.010759838,0.011456615
7106.663,0.013333552,0.016781926,0.011479227,0.012046259
7107.163,0.014610319,0.018507914,0.012338244,0.012921013
7107.663,0.016345325,0.017857154,0.013316639,0.013764539
7108.163,0.018216368,0.018717671,0.014294486,0.014810326
7108.663,0.020754792,0.021087418,0.015696674,0.015915897
7109.163,0.02417688,0.020929546,0.017352516,0.017114211
7109.663,0.028935334,0.020270298,0.019784698,0.018689461
7110.163,0.035733676,0.022846955,0.023695297,0.021024254
7110.663,0.047699026,0.024285459,0.029594529,0.023760884
7111.163,0.071779548,0.028942119,0.038555302,0.028645091
7111.663,0.11127685,0.036566581,0.052310693,0.037066741
7112.163,0.16733126,0.04685318,0.073299868,0.048393656
7112.663,0.2122262,0.056152729,0.092358026,0.058650454
7113.163,0.24549008,0.063152904,0.09816488,0.06553068
7113.663,0.27179683,0.071555976,0.093402575,0.071816396
7114.163,0.29484207,0.074490329,0.086014789,0.079668202
7114.663,0.31525946,0.071081053,0.081621029,0.085156029
7115.163,0.33214157,0.06970538,0.080521675,0.089753664
7115.663,0.34388059,0.071581472,0.082935307,0.09815644
7116.163,0.35039531,0.074835939,0.088516102,0.11142202
7116.663,0.35486891,0.076330571,0.097886055,0.12983118
7117.163,0.36107569,0.077733926,0.11304433,0.15237052
7117.663,0.37303184,0.081895586,0.13220304,0.17944904
7118.163,0.39478635,0.086232349,0.15915789,0.21650926
7118.663,0.42701225,0.094109218,0.193764,0.27145152
7119.163,0.4613099,0.10546132,0.23506914,0.32416732
7119.663,0.49720695,0.12175669,0.28589404,0.38403007
