energy,Fe_foil,Fe2O3,Fe3O4,FeO
6913.163,1.22E-03,-8.74E-04,-1.33E-03,-6.06E-04
6923.163,1.65E-04,-9.28E-04,-1.35E-03,-6.06E-04
6933.163,-8.30E-04,-9.82E-04,-1.37E-03,-6.58E-04
6943.163,-7.54E-04,-1.04E-03,-1.38E-03,-5.78E-04
6953.163,-7.08E-04,-1.09E-03,-1.40E-03,-5.92E-04
6963.163,-6.60E-04,-1.14E-03,-1.42E-03,-5.96E-04
6973.163,-6.80E-04,-1.19E-03,-1.43E-03,-5.94E-04
6983.163,-7.09E-04,-1.20E-03,-1.39E-03,-5.63E-04
6993.163,-6.84E-04,-1.15E-03,-1.37E-03,-5.74E-04
7003.163,-6.68E-04,-1.13E-03,-1.41E-03,-5.90E-04
7013.163,-6.59E-04,-1.18E-03,-1.36E-03,-5.73E-04
7023.163,-6.41E-04,-1.16E-03,-1.33E-03,-5.46E-04
7033.163,-6.37E-04,-1.13E-03,-1.33E-03,-5.63E-04
7043.163,-6.08E-04,-1.17E-03,-1.31E-03,-5.40E-04
7053.163,-5.67E-04,-1.12E-03,-1.30E-03,-5.37E-04
7063.163,-5.29E-04,-1.05E-03,-1.27E-03,-4.83E-04
7073.163,-4.24E-04,-1.04E-03,-1.19E-03,-4.57E-04
7083.163,-2.23E-04,-1.07E-03,-1.03E-03,-3.54E-04
7093.163,-9.33E-05,-1.72E-03,-9.18E-04,-1.49E-04
7093.663,-2.44E-04,-1.63E-03,-7.61E-04,-1.50E-04
7094.163,-5.27E-05,-1.52E-03,-6.99E-04,-1.51E-04
7094.663,3.59E-04,-1.59E-03,9.94E-05,-1.52E-04
7095.163,4.12E-04,-7.05E-04,-2.79E-04,-1.53E-04
7095.663,3.09E-04,-5.60E-05,-1.08E-03,-1.53E-04
7096.163,3.62E-04,-9.23E-04,-8.00E-04,-1.54E-04
7096.663,6.88E-04,-1.14E-03,-4.16E-04,-1.55E-04
7097.163,5.56E-04,-8.49E-04,-3.28E-05,-1.56E-04
7097.663,3.36E-04,-1.07E-03,-7.27E-06,-1.57E-04
7098.163,6.18E-04,-8.98E-04,-1.50E-04,-2.01E-04
7098.663,5.74E-04,-9.32E-04,-8.05E-04,-2.51E-04
7099.163,8.24E-04,-1.08E-03,-8.41E-04,-3.02E-04
7099.663,1.50E-03,-1.16E-03,-4.33E-04,-3.53E-04
7100.163,1.49E-03,-5.99E-04,1.55E-04,-4.04E-04
7100.663,1.49E-03,-6.29E-04,-1.08E-04,-4.55E-04
7101.163,1.88E-03,-1.66E-03,-4.24E-04,-5.06E-04
7101.663,1.99E-03,-9.47E-04,7.60E-05,-5.57E-04
7102.163,2.19E-03,-8.18E-04,1.02E-03,-6.08E-04
7102.663,2.61E-03,-1.58E-03,8.22E-04,-6.59E-04
7103.163,2.44E-03,-1.07E-03,1.90E-05,-2.76E-03
7103.663,2.53E-03,-1.11E-03,4.82E-04,3.62E-03
7104.163,3.16E-03,-9.74E-04,9.57E-04,4.93E-03
7104.663,4.10E-03,-8.77E-04,1.10E-03,3.03E-03
7105.163,4.52E-03,-1.30E-03,4.18E-04,1.44E-03
7105.663,4.82E-03,-7.28E-04,1.23E-03,1.52E-03
7106.163,6.01E-03,-6.20E-05,2.16E-03,1.53E-03
7106.663,7.06E-03,-1.16E-04,2.34E-03,1.31E-03
7107.163,8.80E-03,-8.46E-04,2.94E-03,2.03E-03
7107.663,1.07E-02,-1.08E-03,3.22E-03,2.00E-03
7108.163,1.32E-02,-2.54E-04,4.21E-03,2.49E-03
7108.663,1.80E-02,-5.34E-04,5.79E-03,2.63E-03
7109.163,2.50E-02,-1.37E-03,8.19E-03,3.19E-03
7109.663,3.55E-02,-6.15E-04,1.35E-02,4.96E-03
7110.163,5.81E-02,-3.78E-05,2.15E-02,6.86E-03
7110.663,0.1121147,5.34E-04,3.33E-02,9.44E-03
7111.163,0.19822543,2.23E-03,5.16E-02,1.71E-02
7111.663,0.29795935,3.77E-03,7.94E-02,2.73E-02
7112.163,0.31401436,4.19E-03,9.13E-02,2.98E-02
7112.663,0.24217626,3.26E-03,5.55E-02,2.29E-02
7113.163,0.18403929,3.02E-03,-1.07E-04,1.70E-02
7113.663,0.15207945,1.90E-03,-3.09E-02,1.84E-02
