energy,Fe_foil,Fe2O3,Fe3O4,FeO
6913.163,-3.38E-05,-5.46E-05,-7.03E-06,-2.58E-06
6923.163,-3.28E-05,-4.75E-05,-5.73E-06,7.20E-06
6933.163,-1.47E-05,-4.03E-05,-4.43E-06,-1.18E-05
6943.163,1.95E-06,-3.31E-05,-3.13E-06,6.66E-06
6953.163,1.50E-06,-2.60E-05,-1.83E-06,1.12E-06
6963.163,4.39E-07,-1.88E-05,-5.36E-07,-1.64E-06
6973.163,-7.81E-07,-1.02E-05,6.96E-07,1.73E-06
6983.163,-5.79E-08,8.37E-06,1.10E-06,4.17E-07
6993.163,6.56E-07,1.30E-05,-5.70E-07,-1.10E-06
7003.163,3.97E-07,-5.47E-06,3.70E-07,1.70E-06
7013.163,4.41E-07,-4.93E-06,1.69E-06,-8.34E-07
7023.163,3.54E-07,8.86E-06,5.97E-07,2.13E-06
7033.163,5.30E-07,-2.96E-06,5.03E-07,9.12E-07
7043.163,1.13E-06,9.44E-07,6.31E-07,-7.00E-07
7053.163,1.25E-06,2.30E-05,8.93E-07,2.57E-06
7063.163,2.28E-06,1.52E-05,2.34E-06,1.87E-06
7073.163,4.90E-06,-4.53E-06,5.02E-06,4.39E-06
7083.163,5.29E-06,2.32E-05,9.58E-06,1.01E-05
7093.163,-6.28E-07,-2.93E-03,-8.89E-05,5.35E-06
7093.663,1.30E-05,7.26E-04,9.36E-05,7.27E-07
7094.163,1.93E-04,1.56E-04,3.69E-04,-3.90E-06
7094.663,1.48E-04,2.98E-03,1.80E-04,-8.52E-06
7095.163,-1.59E-05,5.58E-03,-5.05E-04,-1.31E-05
7095.663,-1.60E-05,-7.91E-04,-2.23E-04,-1.78E-05
7096.163,1.21E-04,-3.95E-03,2.84E-04,-2.24E-05
7096.663,6.21E-05,2.69E-04,3.29E-04,-2.70E-05
7097.163,-1.13E-04,2.51E-04,1.75E-04,-3.16E-05
7097.663,1.99E-05,-1.78E-04,-5.01E-05,-3.63E-05
7098.163,7.62E-05,5.11E-04,-3.42E-04,-7.14E-05
7098.663,6.58E-05,-6.61E-04,-2.96E-04,-1.12E-04
7099.163,2.97E-04,-8.36E-04,1.59E-04,-1.52E-04
7099.663,2.14E-04,1.75E-03,4.27E-04,-1.92E-04
7100.163,-4.88E-06,1.94E-03,1.40E-04,-2.32E-04
7100.663,1.23E-04,-3.85E-03,-2.48E-04,-2.72E-04
7101.163,1.62E-04,-1.16E-03,7.88E-05,-3.12E-04
7101.663,1.01E-04,3.05E-03,6.21E-04,-3.53E-04
7102.163,1.96E-04,-2.29E-03,3.20E-04,-3.93E-04
7102.663,7.88E-05,-9.27E-04,-4.31E-04,-4.33E-04
7103.163,-2.61E-05,1.68E-03,-1.46E-04,3.39E-03
7103.663,2.31E-04,3.61E-04,4.02E-04,5.28E-03
7104.163,5.02E-04,8.65E-04,2.65E-04,-5.29E-04
7104.663,4.34E-04,-1.19E-03,-2.31E-04,-2.68E-03
7105.163,2.30E-04,5.40E-04,5.48E-05,-1.12E-03
7105.663,4.78E-04,4.51E-03,7.47E-04,2.54E-04
7106.163,7.19E-04,2.23E-03,4.77E-04,-2.02E-04
7106.663,8.89E-04,-2.85E-03,3.36E-04,5.02E-04
7107.163,1.15E-03,-3.52E-03,3.78E-04,3.51E-04
7107.663,1.40E-03,2.16E-03,5.43E-04,4.64E-04
7108.163,2.35E-03,2.00E-03,1.10E-03,4.70E-04
7108.663,3.77E-03,-4.05E-03,1.71E-03,4.20E-04
7109.163,5.60E-03,-2.94E-04,3.28E-03,1.37E-03
7109.663,1.06E-02,4.83E-03,5.72E-03,2.96E-03
7110.163,2.45E-02,4.18E-03,8.52E-03,3.18E-03
7110.663,4.48E-02,8.26E-03,1.29E-02,6.71E-03
7111.163,5.94E-02,1.18E-02,1.98E-02,1.32E-02
7111.663,3.70E-02,7.12E-03,1.70E-02,9.40E-03
7112.163,-1.78E-02,-1.84E-03,-1.03E-02,-4.99E-03
7112.663,-4.16E-02,-4.28E-03,-3.92E-02,-9.82E-03
7113.163,-2.88E-02,-4.96E-03,-3.70E-02,-3.71E-03
7113.663,-1.61E-02,-1.59E-02,-1.28E-02,2.82E-03
7114.163,-1.21E-02,-1.61E-02,6.66E-03,-7.86E-03
7114.663,-1.48E-02,9.78E-04,1.31E-02,-1.67E-03
7115.163,-1.90E-02,9.92E-03,1.35E-02,1.18E-02
7115.663,-1.76E-02,4.25E-03,1.36E-02,2.06E-02
7116.163,-7.57E-03,-2.23E-03,1.65E-02,1.93E-02
7116.663,7.18E-03,8.18E-04,1.94E-02,1.70E-02
7117.163,2.30E-02,5.60E-03,2.16E-02,2.06E-02
7117.663,3.58E-02,6.65E-03,2.72E-02,4.55E-02
7118.163,3.28E-02,1.07E-02,2.98E-02,6.37E-02
7118.663,1.62E-02,1.54E-02,3.06E-02,1.03E-02
7119.163,7.01E-03,1.91E-02,2.72E-02,1.91E-02
7119.663,9.66E-03,2.58E-02,1.15E-02,1.45E-02
7120.163,9.06E-03,3.93E-02,2.07E-03,-1.78E-02
7120.663,-1.64E-03,5.39E-02,2.59E-03,-1.90E-02
7121.163,-9.74E-03,5.46E-02,3.17E-03,-1.93E-02
7121.663,-1.45E-02,3.87E-02,1.32E-02,-2.93E-03
7122.163,-1.93E-02,1.26E-02,1.87E-02,5.13E-02
7122.663,-1.75E-02,-1.71E-02,7.89E-03,4.05E-02
7123.163,-1.25E-02,-2.60E-02,-3.30E-03,1.34E-02
7123.663,-8.52E-03,-5.25E-03,-1.38E-02,3.13E-02
7124.163,-6.99E-03,1.71E-02,-2.25E-02,1.63E-03
7124.663,-7.21E-03,3.00E-02,-2.22E-02,-6.23E-02
7125.163,-4.79E-03,2.97E-02,-1.83E-02,-6.32E-02
