Energy,Fe-foil,Fe2_SO4_3_xH2O,Fe3N,Fe3P,Fe3_PO4_2_8H2O,FeB,FeBr3.,FeCl2,FeCl3,FeCl3_6H2O,FeF3_3H2O,FeMoO4,FeO_2,FeS,FeS2,FeSO4,FeSO4_7H2O,FeSe,FeSi2,FeTiO3,FeWO4,Fe_NO3_3_9H2O,Fe_OH_Ac2,LaFeO3,NH4_2Fe_SO4_2_xH2O,NH4_Fe_SO4_2_xH2O,a-Fe2O3,a-FeOOH,approx_FeBr2,approx_Fe_OH_3,approx_g-FeOOH
6786.5148,1.10E-05,1.30E-04,7.74E-05,7.09E-05,1.02E-04,7.74E-05,2.84E-04,1.56E-04,2.16E-04,2.16E-04,6.80E-05,2.74E-04,1.07E-04,1.13E-04,1.32E-04,1.24E-04,1.48E-04,1.05E-04,1.24E-04,1.85E-04,4.61E-04,1.08E-04,8.01E-05,4.36E-04,1.23E-04,1.76E-04,5.71E-05,6.14E-05,2.13E-04,6.43E-05,7.76E-05
6792.216,1.02E-05,1.29E-04,7.63E-05,6.99E-05,1.01E-04,7.63E-05,2.82E-04,1.54E-04,2.15E-04,2.15E-04,6.70E-05,2.72E-04,1.06E-04,1.12E-04,1.31E-04,1.22E-04,1.47E-04,1.04E-04,1.23E-04,1.84E-04,4.59E-04,1.06E-04,7.90E-05,4.34E-04,1.22E-04,1.74E-04,5.62E-05,6.04E-05,2.11E-04,6.33E-05,7.65E-05
6798.0952,9.41E-06,1.28E-04,7.53E-05,6.89E-05,9.96E-05,7.53E-05,2.81E-04,1.53E-04,2.13E-04,2.13E-04,6.60E-05,2.70E-04,1.05E-04,1.11E-04,1.30E-04,1.21E-04,1.45E-04,1.03E-04,1.21E-04,1.83E-04,4.57E-04,1.05E-04,7.79E-05,4.32E-04,1.21E-04,1.73E-04,5.52E-05,5.94E-05,2.10E-04,6.22E-05,7.55E-05
6803.8226,8.61E-06,1.27E-04,7.42E-05,6.79E-05,9.85E-05,7.42E-05,2.79E-04,1.52E-04,2.12E-04,2.12E-04,6.50E-05,2.69E-04,1.03E-04,1.09E-04,1.28E-04,1.20E-04,1.44E-04,1.02E-04,1.20E-04,1.81E-04,4.55E-04,1.04E-04,7.69E-05,4.30E-04,1.20E-04,1.71E-04,5.42E-05,5.85E-05,2.08E-04,6.13E-05,7.44E-05
6809.5849,7.83E-06,1.25E-04,7.32E-05,6.68E-05,9.74E-05,7.32E-05,2.77E-04,1.51E-04,2.10E-04,2.10E-04,6.40E-05,2.67E-04,1.02E-04,1.08E-04,1.27E-04,1.19E-04,1.43E-04,1.01E-04,1.19E-04,1.80E-04,4.53E-04,1.03E-04,7.59E-05,4.29E-04,1.18E-04,1.70E-04,5.33E-05,5.74E-05,2.07E-04,6.03E-05,7.34E-05
6815.3288,7.02E-06,1.24E-04,7.22E-05,6.59E-05,9.63E-05,7.22E-05,2.76E-04,1.49E-04,2.09E-04,2.09E-04,6.31E-05,2.66E-04,1.01E-04,1.07E-04,1.26E-04,1.18E-04,1.42E-04,9.96E-05,1.18E-04,1.79E-04,4.50E-04,1.02E-04,7.49E-05,4.27E-04,1.17E-04,1.69E-04,5.23E-05,5.64E-05,2.06E-04,5.93E-05,7.23E-05
6821.1368,6.24E-06,1.23E-04,7.12E-05,6.49E-05,9.52E-05,7.11E-05,2.74E-04,1.48E-04,2.07E-04,2.07E-04,6.20E-05,2.64E-04,9.99E-05,1.06E-04,1.25E-04,1.16E-04,1.40E-04,9.85E-05,1.17E-04,1.77E-04,4.48E-04,1.01E-04,7.38E-05,4.25E-04,1.16E-04,1.67E-04,5.14E-05,5.55E-05,2.04E-04,5.83E-05,7.13E-05
6827.0712,5.41E-06,1.22E-04,7.02E-05,6.38E-05,9.40E-05,7.02E-05,2.72E-04,1.47E-04,2.06E-04,2.06E-04,6.11E-05,2.62E-04,9.88E-05,1.05E-04,1.24E-04,1.15E-04,1.39E-04,9.74E-05,1.16E-04,1.76E-04,4.46E-04,9.95E-05,7.28E-05,4.23E-04,1.15E-04,1.66E-04,5.04E-05,5.46E-05,2.03E-04,5.73E-05,7.02E-05
6832.926,4.62E-06,1.20E-04,6.91E-05,6.28E-05,9.29E-05,6.91E-05,2.71E-04,1.45E-04,2.04E-04,2.04E-04,6.00E-05,2.61E-04,9.76E-05,1.04E-04,1.22E-04,1.14E-04,1.38E-04,9.63E-05,1.14E-04,1.75E-04,4.44E-04,9.83E-05,7.17E-05,4.21E-04,1.14E-04,1.65E-04,4.94E-05,5.35E-05,2.01E-04,5.62E-05,6.92E-05
6838.7357,3.87E-06,1.19E-04,6.81E-05,6.19E-05,9.18E-05,6.81E-05,2.69E-04,1.44E-04,2.03E-04,2.03E-04,5.90E-05,2.59E-04,9.66E-05,1.03E-04,1.21E-04,1.13E-04,1.36E-04,9.52E-05,1.13E-04,1.73E-04,4.42E-04,9.72E-05,7.07E-05,4.19E-04,1.13E-04,1.63E-04,4.84E-05,5.26E-05,2.00E-04,5.53E-05,6.81E-05
6844.6328,3.09E-06,1.18E-04,6.71E-05,6.09E-05,9.07E-05,6.70E-05,2.67E-04,1.43E-04,2.01E-04,2.01E-04,5.80E-05,2.58E-04,9.54E-05,1.01E-04,1.20E-04,1.12E-04,1.35E-04,9.41E-05,1.12E-04,1.72E-04,4.40E-04,9.60E-05,6.97E-05,4.17E-04,1.11E-04,1.62E-04,4.74E-05,5.16E-05,1.98E-04,5.43E-05,6.70E-05
6850.4356,2.34E-06,1.17E-04,6.61E-05,5.98E-05,8.96E-05,6.60E-05,2.66E-04,1.42E-04,2.00E-04,2.00E-04,5.71E-05,2.56E-04,9.43E-05,1.00E-04,1.19E-04,1.10E-04,1.34E-04,9.30E-05,1.11E-04,1.71E-04,4.38E-04,9.49E-05,6.87E-05,4.15E-04,1.10E-04,1.61E-04,4.65E-05,5.07E-05,1.97E-04,5.33E-05,6.60E-05
6856.3341,1.53E-06,1.16E-04,6.51E-05,5.89E-05,8.85E-05,6.50E-05,2.64E-04,1.40E-04,1.98E-04,1.99E-04,5.62E-05,2.54E-04,9.32E-05,9.92E-05,1.18E-04,1.09E-04,1.33E-04,9.19E-05,1.10E-04,1.69E-04,4.36E-04,9.38E-05,6.77E-05,4.13E-04,1.09E-04,1.59E-04,4.56E-05,4.97E-05,1.95E-04,5.23E-05,6.50E-05
6862.175,7.91E-07,1.14E-04,6.41E-05,5.79E-05,8.74E-05,6.40E-05,2.62E-04,1.39E-04,1.97E-04,1.97E-04,5.51E-05,2.53E-04,9.21E-05,9.81E-05,1.17E-04,1.08E-04,1.31E-04,9.08E-05,1.09E-04,1.68E-04,4.34E-04,9.26E-05,6.66E-05,4.11E-04,1.08E-04,1.58E-04,4.46E-05,4.87E-05,1.94E-04,5.13E-05,6.40E-05
6867.9517,4.34E-08,1.13E-04,6.31E-05,5.70E-05,8.63E-05,6.31E-05,2.61E-04,1.38E-04,1.95E-04,1.96E-04,5.42E-05,2.51E-04,9.10E-05,9.70E-05,1.15E-04,1.07E-04,1.30E-04,8.98E-05,1.08E-04,1.67E-04,4.32E-04,9.15E-05,6.56E-05,4.10E-04,1.07E-04,1.57E-04,4.36E-05,4.78E-05,1.93E-04,5.04E-05,6.30E-05
6873.832,-7.32E-07,1.12E-04,6.21E-05,5.60E-05,8.53E-05,6.21E-05,2.59E-04,1.37E-04,1.94E-04,1.94E-04,5.32E-05,2.50E-04,8.99E-05,9.59E-05,1.14E-04,1.06E-04,1.29E-04,8.87E-05,1.06E-04,1.65E-04,4.30E-04,9.04E-05,6.46E-05,4.08E-04,1.06E-04,1.55E-04,4.27E-05,4.68E-05,1.91E-04,4.94E-05,6.20E-05
6879.7846,-1.51E-06,1.11E-04,6.11E-05,5.50E-05,8.41E-05,6.11E-05,2.57E-04,1.35E-04,1.93E-04,1.93E-04,5.22E-05,2.48E-04,8.88E-05,9.47E-05,1.13E-04,1.05E-04,1.28E-04,8.76E-05,1.05E-04,1.64E-04,4.28E-04,8.93E-05,6.37E-05,4.06E-04,1.04E-04,1.54E-04,4.17E-05,4.59E-05,1.90E-04,4.84E-05,6.09E-05
6885.6898,-2.28E-06,1.10E-04,6.01E-05,5.41E-05,8.31E-05,6.01E-05,2.56E-04,1.34E-04,1.91E-04,1.91E-04,5.13E-05,2.47E-04,8.77E-05,9.36E-05,1.12E-04,1.03E-04,1.27E-04,8.66E-05,1.04E-04,1.63E-04,4.26E-04,8.82E-05,6.26E-05,4.04E-04,1.03E-04,1.53E-04,4.08E-05,4.50E-05,1.88E-04,4.74E-05,5.99E-05
6891.6595,-3.05E-06,1.09E-04,5.92E-05,5.31E-05,8.20E-05,5.91E-05,2.54E-04,1.33E-04,1.90E-04,1.90E-04,5.03E-05,2.45E-04,8.66E-05,9.25E-05,1.11E-04,1.02E-04,1.25E-04,8.55E-05,1.03E-04,1.62E-04,4.24E-04,8.71E-05,6.16E-05,4.02E-04,1.02E-04,1.51E-04,3.99E-05,4.40E-05,1.87E-04,4.64E-05,5.89E-05
6897.5916,-3.80E-06,1.07E-04,5.82E-05,5.21E-05,8.09E-05,5.82E-05,2.53E-04,1.32E-04,1.88E-04,1.88E-04,4.94E-05,2.43E-04,8.55E-05,9.14E-05,1.10E-04,1.01E-04,1.24E-04,8.46E-05,1.02E-04,1.60E-04,4.22E-04,8.60E-05,6.06E-05,4.00E-04,1.01E-04,1.50E-04,3.89E-05,4.30E-05,1.86E-04,4.55E-05,5.79E-05
6903.5679,-4.56E-06,1.06E-04,5.72E-05,5.12E-05,7.98E-05,5.72E-05,2.51E-04,1.30E-04,1.87E-04,1.87E-04,4.84E-05,2.42E-04,8.45E-05,9.03E-05,1.09E-04,1.00E-04,1.23E-04,8.34E-05,1.01E-04,1.59E-04,4.20E-04,8.49E-05,5.96E-05,3.98E-04,9.99E-05,1.49E-04,3.80E-05,4.21E-05,1.84E-04,4.45E-05,5.69E-05
6909.3705,-5.31E-06,1.05E-04,5.62E-05,5.03E-05,7.88E-05,5.62E-05,2.49E-04,1.29E-04,1.85E-04,1.86E-04,4.75E-05,2.40E-04,8.34E-05,8.92E-05,1.07E-04,9.89E-05,1.22E-04,8.24E-05,9.96E-05,1.58E-04,4.18E-04,8.38E-05,5.87E-05,3.96E-04,9.89E-05,1.47E-04,3.71E-05,4.12E-05,1.83E-04,4.36E-05,5.59E-05
6915.3532,-6.05E-06,1.04E-04,5.52E-05,4.93E-05,7.77E-05,5.52E-05,2.48E-04,1.28E-04,1.84E-04,1.84E-04,4.65E-05,2.39E-04,8.24E-05,8.81E-05,1.06E-04,9.77E-05,1.21E-04,8.13E-05,9.85E-05,1.56E-04,4.16E-04,8.27E-05,5.77E-05,3.94E-04,9.77E-05,1.46E-04,3.62E-05,4.03E-05,1.81E-04,4.26E-05,5.49E-05
6921.3641,-6.82E-06,1.03E-04,5.43E-05,4.84E-05,7.66E-05,5.43E-05,2.46E-04,1.27E-04,1.83E-04,1.83E-04,4.55E-05,2.37E-04,8.13E-05,8.71E-05,1.05E-04,9.66E-05,1.19E-04,8.03E-05,9.74E-05,1.55E-04,4.15E-04,8.16E-05,5.67E-05,3.93E-04,9.66E-05,1.45E-04,3.52E-05,3.93E-05,1.80E-04,4.17E-05,5.39E-05
6927.3653,-7.57E-06,1.02E-04,5.33E-05,4.74E-05,7.55E-05,5.33E-05,2.45E-04,1.25E-04,1.81E-04,1.81E-04,4.46E-05,2.36E-04,8.02E-05,8.60E-05,1.04E-04,9.55E-05,1.18E-04,7.93E-05,9.62E-05,1.54E-04,4.13E-04,8.05E-05,5.57E-05,3.91E-04,9.55E-05,1.44E-04,3.44E-05,3.84E-05,1.79E-04,4.07E-05,5.30E-05
6933.4102,-8.33E-06,1.00E-04,5.23E-05,4.64E-05,7.45E-05,5.24E-05,2.43E-04,1.24E-04,1.80E-04,1.80E-04,4.37E-05,2.34E-04,7.92E-05,8.49E-05,1.03E-04,9.44E-05,1.17E-04,7.82E-05,9.51E-05,1.53E-04,4.11E-04,7.94E-05,5.47E-05,3.89E-04,9.43E-05,1.42E-04,3.34E-05,3.75E-05,1.77E-04,3.98E-05,5.19E-05
6939.4265,-9.07E-06,9.93E-05,5.13E-05,4.55E-05,7.34E-05,5.14E-05,2.41E-04,1.23E-04,1.78E-04,1.79E-04,4.27E-05,2.33E-04,7.81E-05,8.38E-05,1.02E-04,9.32E-05,1.16E-04,7.71E-05,9.40E-05,1.51E-04,4.09E-04,7.83E-05,5.37E-05,3.87E-04,9.32E-05,1.41E-04,3.25E-05,3.65E-05,1.76E-04,3.88E-05,5.09E-05
6945.5027,-9.81E-06,9.82E-05,5.03E-05,4.46E-05,7.24E-05,5.05E-05,2.40E-04,1.22E-04,1.77E-04,1.77E-04,4.18E-05,2.31E-04,7.70E-05,8.27E-05,1.01E-04,9.21E-05,1.15E-04,7.61E-05,9.29E-05,1.50E-04,4.07E-04,7.72E-05,5.27E-05,3.85E-04,9.21E-05,1.40E-04,3.16E-05,3.56E-05,1.75E-04,3.79E-05,5.00E-05
